"Financial Year","Name","Lodged on behalf of","AssociatedParties","Total Receipts","Total Payments","Total Debts","Discretionary Benefits","Capital Contributions"
"2019-20","Australasian Meat Industry Employees Union - Newcastle, Northern, South Australian & Tasmanian Branch","","Australian Labor Party (N.S.W. Branch); ","1587456","1443638","32267","0","0"
"2019-20","Australasian Meat Industry Employees' Union - NSW Branch","AMIEU NSW Branch","Australian Labor Party (N.S.W. Branch); ","1429857","1610653","109226","0","0"
"2019-20","Australasian Meat Industry Employees' Union - QWANT Branch","","Australian Labor Party (State of Queensland); ","2169310","2036226","0","0","0"
"2019-20","Australasian Meat Industry Employees Union SA & WA Branch","Australasian Meat Industry Employees' Union South and Western Australia Branch","Australian Labor Party (South Australian Branch); Australian Labor Party (Western Australian Branch); ","752969","723670","95739","0","0"
"2019-20","Australasian Meat Industry Employees Union Victorian Branch","","Australian Labor Party (Victorian Branch); ","1582558","1433748","61924","0","0"
"2019-20","Australian Federated Union of Locomotive Employees","","Australian Labor Party (State of Queensland); ","826898","614502","51813","49668","0"
"2019-20","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","Queensland Together Branch","Australian Labor Party (State of Queensland); ","16961229","15238963","869049","0","0"
"2019-20","Australian Municipal, Administrative, Clerical and Services Union - Queensland (Services and Northern Administrative) Branch","","Australian Labor Party (State of Queensland); ","7272568","7063800","370145","0","0"
"2019-20","Australian Rail Tram & Bus Industry Union New South Wales Branch","","Australian Labor Party (N.S.W. Branch); ","9897120","8098194","423529","0","0"
"2019-20","Australian Rail Tram & Bus Industry Union SA/NT","","Australian Labor Party (South Australian Branch); ","758287","725633","0","0","0"
"2019-20","Australian Rail Tram & Bus Industry Union, Queensland Branch","Australian Rail, Tram and Bus Industry Union, Queensland Branch","Australian Labor Party (State of Queensland); ","4368019","4109912","275438","0","0"
"2019-20","Australian Rail Tram & Bus Union (Victorian Branch)","","Australian Labor Party (Victorian Branch); ","6963671","6250777","224618","0","0"
"2019-20","Australian Rail Tram and Bus Industry Union, Western Australia Branch","Australian Rail, Tram and Bus Industry Union of Employees, West Australian Branch; Australian Rail, Tram and Bus Industry Union, West Australian PTA Branch","Australian Labor Party (Western Australian Branch); ","507000","523000","229000","0","0"
"2019-20","Australian Rail,Tram & Bus Industry - TAS Branch","","Australian Labor Party (Tasmanian Branch); ","170044","158142","0","0","0"
"2019-20","Australian Services Union - Victorian & Tasmanian Authorities & Services Branch","","Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); ","13944153","13420106","72657","0","0"
"2019-20","Australian Services Union of NSW & ACT (Services) Branch","","Australian Labor Party (N.S.W. Branch); Australian Labor Party (ACT Branch); ","7336653","6778490","289125","0","0"
"2019-20","Australian Services Union SA - NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","3386427","3215588","92698","0","0"
"2019-20","Australian Services Union Western Australian Branch","","Australian Labor Party (Western Australian Branch); ","0","21920","0","0","0"
"2019-20","Australian Workers Union SA Branch","","Australian Labor Party (South Australian Branch); ","2986528","2625469","118870","0","0"
"2019-20","Australian Workers Union WA Branch","","Australian Labor Party (Western Australian Branch); ","5155885","5143878","1254905","0","0"
"2019-20","Automotive Food Metals Engineering Printing & Kindred Ind. Union","Automotive Food Metals Engineering Printing & Kindred Industries Union TASMANIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union WESTERN AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union SOUTH AUSTRALIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union QUEENSLAND STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union VICTORIA STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NSW STATE COUNCIL; Automotive Food Metals Engineering Printing & Kindred Industries Union NATIONAL COUNCIL","Australian Labor Party (ALP); Australian Labor Party (ACT Branch); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); Country Labor Party; ","49442374","50942697","749188","0","0"
"2019-20","AWU - Australian Workers Union (Tasmanian Branch)","","Australian Labor Party (Tasmanian Branch); ","3249201","1755935","77842","0","0"
"2019-20","Bass 200 Club","","Liberal Party of Australia (Victorian Division); ","3268","266","0","0","0"
"2019-20","Bayside Forum","","Liberal Party of Australia (Victorian Division); ","162484","60101","142","0","0"
"2019-20","Bendigo 250 Club","","Liberal Party of Australia (Victorian Division); ","270","15","0","0","0"
"2019-20","Berwick Ranges 500 Club","","Liberal Party of Australia (Victorian Division); ","45395","16740","0","0","0"
"2019-20","Bunori Pty Limited","","Liberal Party of Australia, NSW Division; ","5400263","4952776","2760207","0","0"
"2019-20","Burwood Business Network","","Liberal Party of Australia (Victorian Division); ","1218","2447","0","0","0"
"2019-20","Business First","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2019-20","Canberra Labor Club Limited","2.200 Nominees Pty Ltd; S48 Investments Pty Ltd","Australian Labor Party (ACT Branch); ","78035750","80408865","33104222","0","0"
"2019-20","Caulfield Challenge 200 Club","","Liberal Party of Australia (Victorian Division); ","24863","3744","0","0","0"
"2019-20","CEC Australia (Services) Pty Ltd","","Citizens Electoral Council of Australia; ","2444861","2421791","1699698","0","0"
"2019-20","CEPU - Electrical Division QLD & NT ","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","7697538","8614272","2262777","0","0"
"2019-20","CEPU (T&S) NSW Branch","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","293328","306728","49015","0","0"
"2019-20","CEPU Communications Division - WA","","Australian Labor Party (Western Australian Branch); ","946189","1522027","0","0","0"
"2019-20","CEPU Communications Division (CWU QLD Branch)","Communication Workers Union","Australian Labor Party (State of Queensland); ","1467102","1476398","0","50000","0"
"2019-20","CEPU Communications Division SA/NT Branch","","Australian Labor Party (South Australian Branch); Australian Labor Party (Northern Territory) Branch; ","779439","735249","42235","0","0"
"2019-20","CEPU Electrical, Energy & Services Division - SA Branch","","Australian Labor Party (South Australian Branch); ","2398224","2308816","0","0","0"
"2019-20","CEPU Engineering & Electrical Division WA Branch","","Australian Labor Party (Western Australian Branch); ","3127875","2668850","75322","0","0"
"2019-20","CEPU P & T Victorian Branch","","Australian Labor Party (Victorian Branch); ","1850164","1601712","0","0","0"
"2019-20","CEPU Plumbing Division - NSW (CEPU of Australia NSW Branch)","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","2540614","2002948","960106","50000","0"
"2019-20","CEPU Plumbing Division Queensland Branch","","Australian Labor Party (State of Queensland); ","4591193","3658352","1812119","0","0"
"2019-20","CEPU Plumbing Division Victoria","","Australian Labor Party (Victorian Branch); ","9424859","11258569","1192427","0","0"
"2019-20","Chinese Liberals Association","","Liberal Party of Australia (Victorian Division); ","0","550","0","0","0"
"2019-20","Chisholm 200 Club","","Liberal Party of Australia (Victorian Division); ","6948","1057","0","0","0"
"2019-20","Citizens Media Group Pty Ltd","","Citizens Electoral Council of Australia; ","54508","54563","30756","0","0"
"2019-20","CLP Gifts & Legacies Pty Ltd","","Country Liberals (Northern Territory); ","48072","56023","0","0","0"
"2019-20","Communication Workers Union Central Branch","","Australian Labor Party (ALP); Australian Labor Party (N.S.W. Branch); ","4610461","4599791","79951","0","0"
"2019-20","Community and Public Sector Union (PSU Group)","","Australian Labor Party (ACT Branch); Australian Labor Party (N.S.W. Branch); Australian Labor Party (Northern Territory) Branch; Australian Labor Party (South Australian Branch); Australian Labor Party (State of Queensland); Australian Labor Party (Tasmanian Branch); Australian Labor Party (Victorian Branch); Australian Labor Party (Western Australian Branch); ","48578639","33453444","1570149","0","0"
"2019-20","Constituent Management Services Pty Ltd","","National Party of Australia - N.S.W.; ","321626","155908","209649","0","0"
"2019-20","Construction Forestry Mining & Energy Union (NSW Branch) Construction & General Division (NSW State Body)","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","1178891","1251788","0","0","0"
"2019-20","Cormack Foundation Pty Ltd","","Liberal Party of Australia (Victorian Division); Liberal Party of Australia; ","3916044","834980","0","0","0"
"2019-20","Dame Pattie Menzies Liberal Foundation","","Liberal Party of Australia, NSW Division; ","1","577","0","0","0"
"2019-20","Dunkley Blue Ribbon Club","","Liberal Party of Australia (Victorian Division); ","166","25655","0","0","0"
"2019-20","Electrical Trades Union of Australia - Victoria Branch","","Australian Labor Party (Victorian Branch); ","15401246","13828442","562627","0","0"
"2019-20","Electrical Trades Union of Australia NSW Branch","","Australian Labor Party (N.S.W. Branch); Country Labor Party; ","7538881","7959188","86263","0","0"
"2019-20","Electrical Trades Union of Employees Queensland","","Australian Labor Party (State of Queensland); Australian Labor Party (Northern Territory) Branch; ","1078237","2102350","3180641","0","0"
"2019-20","EMILY's List Australia","","Australian Labor Party (ALP); Australian Labor Party (Victorian Branch); ","326776","289655","0","0","0"
"2019-20","Endeavour 270 Club","","Liberal Party of Australia (Victorian Division); ","233","675","0","0","0"
"2019-20","Enterprise Club","","Liberal Party of Australia (Victorian Division); ","176","1303","0","0","0"
"2019-20","Enterprise West","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2019-20","Finance Sector Union of Aust - QLD Branch","","Australian Labor Party (State of Queensland); ","1607997","1607997","0","0","0"
"2019-20","Finance Sector Union of Aust - SA/NT Branch","","Australian Labor Party (South Australian Branch); ","863187","863187","0","0","0"
"2019-20","Finance Sector Union of Australia - NSW Branch","Finance Sector Union NSW/ACT Branch","Australian Labor Party (N.S.W. Branch); ","3550693","3550693","0","0","0"
"2019-20","Finance Sector Union of Australia - VIC/TAS Branch","","Australian Labor Party (Victorian Branch); ","3023527","3023527","0","0","0"
"2019-20","Finance Sector Union of Australia - WA Branch","","Australian Labor Party (Western Australian Branch); ","1055719","1055719","0","0","0"
"2019-20","Forest Hill Supporters' Club","","Liberal Party of Australia (Victorian Division); ","15713","5933","0","0","0"
"2019-20","Forrest Cattle Fund Inc","","Liberal Party of Australia; Liberal Party (W.A. Division) Inc; ","30409","4194","33776","0","0"
"2019-20","Gatenby Investment Fund","","Liberal Party of Australia - Tasmanian Division; ","174273","167995","1100056","0","0"
"2019-20","Goulburn River & Ranges 200 Club","","Liberal Party of Australia (Victorian Division); ","0","0","0","0","0"
"2019-20","Health & Community Services Union Vic No. 2 HSU","","Australian Labor Party (Victorian Branch); ","5724192","5258520","980695","0","0"
"2019-20","Health Services Union NSW","","Australian Labor Party (N.S.W. Branch); ","25470214","26810744","433025","0","0"
"2019-20","Health Services Union of Victoria No.1 Branch","","Australian Labor Party (Victorian Branch); ","7890425","7644390","1317449","192000","0"
"2019-20","Health Services Union SA Branch","","Australian Labor Party (South Australian Branch); ","476571","588246","20659","0","0"
"2019-20","Health Services Union, Tasmania Branch","","Australian Labor Party (Tasmanian Branch); ","4596368","4570688","214581","0","0"
