"Financial Year","ClientFileId","Name","ABN","ACN","Total Expenditure","Electoral Expenditure Cat. 1","Electoral Expenditure Cat. 2","Electoral Expenditure Cat. 3","Electoral Expenditure Cat. 4","Electoral Expenditure Cat. 5","Total Gifts Received","ClientType"
"2018-19","20031","The Shop, Distributive & Allied Employees' Association of Western Australia","73 291 187 274","","0","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","40886","The State School Teacher's Union of WA (Inc.)","54478094635","","39804","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","37389","The Sunrise Project Australia Limited","65 159 324 697","159 324 697","197816","N/A","N/A","N/A","N/A","N/A","695000","organisationdonor"
"2018-19","20623","The Wilderness Society","18 611 229 086","611 229 086","149325","N/A","N/A","N/A","N/A","N/A","65000","thirdparty"
"2018-19","40603","The Wilderness Society Victoria Inc.","50 199 624 393","","20900","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","20161","Unions NSW","43 132 138 531","","165281","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2018-19","20118","Victorian Trades Hall Council","57 136 432 771","","164106","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2018-19","40684","Voices for Farrer Inc.","22 518 368 857","","21148","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","29215","World Wide Fund for Nature Australia","57001594074","001 594 074","0","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2017-18","37388","350 Australia","46 138 155 192","138 155 192","4708","0","0","0","0","4708","0","thirdparty"
"2017-18","33017","AEU NSW Teachers Federation","86600150697","","351371","8804","86318","203387","0","52862","0","politicalcampaigner"
"2017-18","28800","Alliance of Australian Retailers Pty Ltd","74 145 378 589","145 378 589","0","0","0","0","0","0","0","thirdparty"
"2017-18","38540","ANIMALS AUSTRALIA ","65 016 845 767","617 080 387","2467532","0","2270402","0","0","197130","0","significantthirdparty"
"2017-18","30236","Australian Automobile Association","25008526369","008526369","0","0","0","0","0","0","0","significantthirdparty"
"2017-18","15605","Australian Christian Lobby","40 075 120 517","075 120 517","60538","8938","0","0","0","51600","0","significantthirdparty"
"2017-18","20499","Australian Conservation Foundation Incorporated","22007498482","","191213","0","0","0","109562","81651","0","significantthirdparty"
"2017-18","19364","Australian Council of Trade Unions","67175982800","","10710469","136913","211862","8758219","208636","1394839","7089618","significantthirdparty"
"2017-18","30314","Australian Education Union ","16006296647","","719725","25840","427222","13200","92047","161416","0","significantthirdparty"
"2017-18","33002","Australian Education Union Victorian Branch","","","0","0","0","0","0","0","0","politicalcampaigner"
"2017-18","28918","Australian Municipal Administrative Clerical and Services Union ","28519971998","","500000","500000","0","0","0","0","0","significantthirdparty"
"2017-18","38542","Australian Nursing & Midwifery Federation","41816898298","","524733","252","35217","0","0","489264","0","significantthirdparty"
"2017-18","38543","Australian Nursing and Midwifery Federation SA","95969485175","","112806","0","0","0","0","112806","0","thirdparty"
"2017-18","18736","Australian Rail Tram & Bus Industry Union New South Wales Branch","55090785801","","0","0","0","0","0","0","0","associatedentity"
"2017-18","19861","Australian Workers Union WA Branch","23 613 523 164","","0","0","0","0","0","0","0","associatedentity"
"2017-18","41533","Australian Youth Climate Coalition Limited","67 145 851 912","145 851 912","70130","0","56960","0","0","13170","0","significantthirdparty"
"2017-18","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","154977","0","154977","0","0","0","0","associatedentity"
"2017-18","36451","Business Council of Australia","75 008 483 216","008 483 216","1743947","16500","694383","832686","0","200378","0","significantthirdparty"
"2017-18","19975","CFMEU - Construction & General Division (WA Branch)","77538246780","","200051","200051","0","0","0","0","0","associatedentity"
